CodeFKKO,WasteName,OriginWaste,TechnologicalProcess,CompositionWaste,CompositionMin,CompositionMax,StateOfAggregation,HazardClass,Note
1 11 110 01 23 5,мякина,Выращивание зерновых и зернобобовых культур,Уборка урожая зерновых и зернобобовых культур,,,,волокно,V,
1 11 110 02 23 5,солома,Выращивание зерновых и зернобобовых культур,Уборка урожая зерновых и зернобобовых культур,,,,волокно,V,
1 11 110 03 23 5,стебли подсолнечника,Выращивание зерновых и зернобобовых культур,Уборка урожая зерновых и зернобобовых культур,,,,волокно,V,
1 11 110 04 23 5,стебли кукурузы,Выращивание зерновых и зернобобовых культур,Уборка урожая зерновых и зернобобовых культур,,,,волокно,V,
1 11 120 01 49 5,зерноотходы твердой пшеницы,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 02 49 5,зерноотходы мягкой пшеницы,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 03 49 5,зерноотходы меслина,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 04 49 5,зерноотходы кукурузы,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 05 49 5,зерноотходы ячменя,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 06 49 5,зерноотходы ржи,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 07 49 5,зерноотходы овса,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 08 49 5,зерноотходы сорго,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 09 49 5,зерноотходы проса,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 11 49 5,зерноотходы гречихи,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 12 49 5,зерноотходы тритикале,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 13 49 5 ,зерноотходы чумизы,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 14 49 5,зерноотходы прочих зерновых культур,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 15 49 5,зерноотходы прочих зернобобовых культур (овощей бобовых сушеных),Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 210 01 23 5,"ботва от корнеплодов, другие подобные растительные остатки при выращивании овощей","Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур","Уборка урожая овощей, бахчевых, корнеплодных и клубнеплодных культур",,,,волокно,V,
1 11 210 02 23 5,"ботва от корнеплодов, другие подобные растительные остатки при выращивании овощей, загрязненные землей","Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур","Уборка урожая овощей, бахчевых, корнеплодных и клубнеплодных культур",,,,волокно,V,
