City,Street,Lat,Long,Region,Partner,Bonus,Materials
Абакан,"Республика Хакасия, г Абакан, ул Дивногорская, 57","53,42577","91,29206",Республика Хакасия,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Абинск,"Краснодарский край, г Абинск, ул Советов, 118","44,8608","38,1539",Краснодарский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Адыгейск,"Республика Адыгея, г Адыгейск, ул Чайковского, 4","44,8778","39,188939",Республика Адыгея,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ак-Довурак,"Республика Тыва, г Ак-Довурак, ул Центральная, 9","51,1794","90,5875",Республика Тыва,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Алатырь,"Чувашская республика, г Алатырь, ул 40 лет Победы, 79","54,4932","46,3316",Чувашская республика,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Алейск,"Алтайский край, г Алейск, пер Ульяновский, 94","52,285","82,454",Алтайский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Александров,"Владимирская область, г Александров, ул Двориковское шоссе, 36","56,4031","38,6947",Владимирская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Алексеевка,"Белгородская область, г Алексеевка, ул Кирова, 57","50,641825","38,646144",Белгородская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Алексин,"Тульская область, г Алексин, ул Матросова, 23","54,035","37,0675",Тульская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Альметьевск,"Республика Татарстан, г Альметьевск, пр-кт Строителей, 24","54,899186","52,270367",Республика Татарстан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ангарск,"Иркутская область, г Ангарск, кв-л 211-й, 5","52,5667","103,9",Иркутская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Анжеро-Судженск,"Кемеровская область, г Анжеро-Судженск, ул Просвещения, 29","56,067851","86,056219",Кемеровская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Апатиты,"Мурманская область, г Апатиты, ул Бредова, 19","67,5608","33,4114",Мурманская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Апшеронск,"Краснодарский край, г Апшеронск, ул Комарова, 77","44,4786","39,7317",Краснодарский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Арзамас,"Нижегородская область, г Арзамас, ул Мира, 5","55,405815","43,837089",Нижегородская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Армавир,"Краснодарский край, г Армавир, ул Советской Армии, 179","45,0019","41,1247",Краснодарский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Арсеньев,"Приморский край, г Арсеньев, ул Жуковского, 19","44,0933","133,1543",Приморский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Архангельск,"Архангельская область, г Архангельск, наб Северной Двины, 115","64,5544","40,5167",Архангельская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Астрахань,"Астраханская область, г Астрахань, ул Адмирала Нахимова, 102",46,48,Астраханская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ачинск,"Красноярский край, г Ачинск, мкр 1-й, 34","56,2606","90,4875",Красноярский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Аша,"Челябинская область, г Аша, ул Златоустовская, 35","55,014568","57,219393",Челябинская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Баймак,"Республика Башкортостан, г Баймак, ул М.Горького, 6","52,7933","58,4219",Республика Башкортостан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Баксан,"Кабардино-Балкарская республика, г Баксан, ул Баксанова, 4","43,6007","43,5442",Кабардино-Балкарская республика,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Балаково,"Саратовская область, г Балаково, ул Красноармейская, 21","52,026485","47,779282",Саратовская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Балахна,"Нижегородская область, г Балахна, ул Космонавтов, 21","56,5167","43,5589",Нижегородская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Балашиха,"Московская область, г Балашиха, проезд Ласточкин, 1","55,82079","37,949135",Московская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Балашов,"Саратовская область, г Балашов, ул 9 Января, 110","51,5561","43,1767",Саратовская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Барабинск,"Новосибирская область, г Барабинск, ул Газовиков, 6","55,3636","78,3475",Новосибирская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Барнаул,"Алтайский край, г Барнаул, пр-кт Дзержинского, 15","53,2578","83,6922",Алтайский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Барнаул,"Алтайский край, г Барнаул, ул Малахова, 46","53,22127","83,42495",Алтайский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Батайск,"Ростовская область, г Батайск, ул Калинина, 73","47,137996","39,729954",Ростовская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Бахчисарай,"Республика Крым, г Бахчисарай, ул Фрунзе, 50","44,742664","33,844439",Республика Крым,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Белая Калитва,"Ростовская область, г Белая Калитва, ул Комарова, 70","48,3086","40,815",Ростовская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Белгород,"Белгородская область, г Белгород, ул Ватутина, Мих.Шоссе д.24","50,5828","36,6469",Белгородская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Белинский,"Пензенская область, г Белинский, ул Ленина, 37","52,9689","43,4047",Пензенская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Белово,"Кемеровская область, г Белово, ул Пролетарская, 101","54,4106","86,2892",Кемеровская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Белогорск,"Амурская область, г Белогорск, ул Почтовая, 16","50,9222","128,4647",Амурская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Белозерск,"Вологодская область, г Белозерск, ул Энгельса, 12","60,0303","37,7761",Вологодская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Белорецк,"Республика Башкортостан, г Белорецк, ул Карла Маркса, 100","53,9725","58,41844",Республика Башкортостан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Белореченск,"Краснодарский край, г Белореченск, ул Ленина, 72","44,7606","39,1419",Краснодарский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Бердск,"Новосибирская область, г Бердск, ул Суворова, 26","54,7611","83,0914",Новосибирская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Березники,"Пермский край, г Березники, пр-кт Ленина, 45","59,4108","56,7922",Пермский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Березовский,"Свердловская область, г Березовский, ул Мира, 25","56,898152","60,822745",Свердловская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Бийск,"Алтайский край, г Бийск, пер Камчатский, 7","52,32218","85,10406",Алтайский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Биробиджан,"Еврейская автономная область, г Биробиджан, ул Биршоссе 2 км, 23","48,784848","132,902286",Еврейская автономная область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Бирск,"Республика Башкортостан, г Бирск, ул Мира, 30","55,5641","55,4163",Республика Башкортостан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
