City,Street,Lat,Long,Rating,Note1,Partner,Bonus,Materials
Москва,"ул. Покровка, д. 8","54,886223","38,082711","4,3",Закроется в 23:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Паустовского, д. 2/34","54,923631","37,444341",,Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
д. Голубое,"ул. Трехсвятская, д. 2, стр. М","54,938731","37,404672",5,Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Гарибальди, д. 15","55,092303","38,768377","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Корабельная, д. 17, к. 1","55,144608","37,455292","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Дмитров,"ул. Константина Аверьянова, д. 3","55,148585","37,48676","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Мытищи,"ул. Борисовка, д. 14","55,167493","37,463368","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Мытищи,"ул. Юбилейная, д. 4","55,359343415964","37,5205909533727","4,2",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Милашенкова, д. 1","55,423969","37,528298",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Видное,"ул. Завидная, д. 10","55,428572","37,771337","4,5",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ш. Шелепихинское , д. 17, к. 1","55,431136","37,557843","4,4",Закроется в 23:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
пос. Развилка,"п. Развилка, д. 16","55,431335","36,865826","4,4",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Раменское,"ул. Чугунова, д. 15а","55,438511","37,773019","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Серпухов,"ул. Ворошилова, д. 140","55,502666","37,538287","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ш. Киевское 22км, д. 6, стр. 1","55,506204","36,017457",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
п. Нахабино,ул. Школьная 3,"55,513953","36,982472","4,8",Закроется в 21:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Зеленоград,корпус 1812,"55,524355","37,513961","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"п. Московский, ул. Татьянин Парк, д. 19, к. 1","55,540353","37,154787",,В апреле 2020-го откроемся!,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. 3-я Ямского Поля, д. 9","55,540648","37,721516","4,4",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Земляной Вал, д. 25","55,542452","37,48428","4,2",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"Зубовский бульвар , 17","55,549103","37,554232","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Никулинская, д. 27Б","55,558783","37,693839",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Коломенская, д. 23, к. 2","55,566155","38,197902","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Поварская, д. 8/1 стр. 1","55,569138","37,489257","4,9",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Шолохова, д. 30","55,569846","37,579044","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Подольск,"ул. Дружбы, д. 19А","55,573933","38,258439","4,3",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Красногорск,"ул. Комсомольская, д. 23","55,57576","39,525459",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Земляной Вал, д. 48А","55,587087","37,673528",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Королев,"ул. Горького, д. 79, к. 13","55,59191","37,754826","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Кустанайская, д. 10А","55,594489","37,544449","4,7",Закроется в 21:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"пер. 3-й Михалковский, д. 15, к. 1","55,595425","38,093688",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Химки,"пр-т Ленинский, д. 9Б","55,595933","37,036039","4,4",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"б-р Бескудниковский, д. 58, к. 2","55,598472","36,469022",,Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Мироновская, д. 18","55,59899","37,516269","4,5",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Чехов,ул.Чехова 3,"55,599555","38,087328","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Королев,"проспект Королева, д. 20","55,601427","37,714599","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Одинцово,"ул. Сколковская, д. 3А","55,60312","37,541368",,Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Воронежская, д. 16","55,603446","37,662506",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. р.п. Киевский, д. 23Б","55,608363","37,976108","4,9",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Верхние поля, д. 11, стр. 2","55,609985","37,73262",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Маршала Бирюзова, д. 24","55,612182","37,607026","4,3",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Чертановская, д. 59","55,618445","37,602463",,Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Барклая, д. 7, к. 1","55,618928","37,753362","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Пушкино,"ул. Набережная, д. 35, к. 3","55,628418","38,039978","4,9",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Профсоюзная, д. 32, к. 1","55,629537","37,340739",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Барклая, д. 12","55,631519","37,516368",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Королев,"ул. Горького, д. 6А стр.2","55,63282","37,484846","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Дубна,"г. Дубна, пр-т Боголюбова, д. 45","55,633816","37,431936",,Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Химки,"ул. Овражная, вл.22","55,636971","37,769253",,Спешим открыться 16 ноября!,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"г. Москва, Маршала Бирюзова, 16","55,637393","37,600388","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"Ленинский проспект, д. 123, к. 1","55,639176","37,513008",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Красногорск,"б-р Павшинский , д. 7","55,643109","37,486311","4,5",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Саянская, д. 6а","55,64476","37,510287","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Кубинка,Нарофоминское шоссе д5,"55,645959","37,519395","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Строителей, д. 11 к. 1","55,648072","37,537236","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Лобня,"ул. Ленина, д. 18","55,649997","37,618776",,Спешим открыться 30 ноября!,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"Пролетарский пр-т, д. 23","55,652578","37,396865","4,5",Закроется в 23:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ш. Дмитровское, д. 13А","55,653228","37,525001",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Одинцово,б-р Маршала Крылова 25А,"55,653934","37,591934","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Балашиха,"ул. Октябрьская, д. 17","55,654051","37,649004",,Откроемся этой осенью!,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"Профсоюзная, д. 22/10, к. 1","55,657092245659","37,4259856097869","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Маршала Василевского, д. 17","55,658185","37,922766","4,5",Закроется в 23:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Сергиев Посад,"ул. Дружбы, д. 9а","55,658484","37,471345","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Лобня,"г. Лобня, ул. Ленина д.67","55,65917","37,491359","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Наро-Фоминск,"ул.Войкова, д. 3.","55,659434","37,747091","4,9",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Маршала Катукова, д. 11","55,662334","37,605715","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"б-р Волжский, д. 114А, к. 9","55,66567","37,747406",,,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"ул. Нагатинская, д. 15, к. 1","55,668447","37,533831","4,7",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Москва,"Москва, ул. Бутлерова, д. 4","55,669386","37,451393",,Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Королев,"ул. Октябрьская, д. 12/2","55,669554","37,588871","4,4",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Раменское,"ул. Лучистая, д. 9","55,672397","37,85515","4,6",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
Лыткарино,"ул. микрорайон №5, квартал 2, д. 7а","55,672641","37,568461",,Спешим открыться совсем скоро!,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
п. Сосенское,"Коммунарка, д. 31А","55,673184","37,750442","4,8",Закроется в 22:00,Вкусвилл,100 бонусов за 1кг,Пластик; Бумага; Алюминий; Жесть; Стекло
